study_hours,attendance,previous_marks,internal_marks,assignment_score,sleep_hours,extracurricular,final_score
2.8,34.0,32.4,36.6,38.4,6.5,1,34.2
6.8,76.4,76.6,78.7,74.1,7.9,1,79.5
8.6,100,94.1,95.0,99.9,9.0,1,98.7
7.4,76.0,84.1,77.5,80.9,7.9,1,76.2
5.5,70.3,71.0,70.6,59.4,7.6,0,65.4
2.1,33.3,31.3,32.5,22.5,6.2,1,26.8
5.2,57.4,62.7,59.7,53.5,7.4,1,57.9
3.7,41.2,32.5,42.0,43.5,6.5,1,36.7
7.9,84.8,89.7,89.7,84.4,8.6,1,88.9
3.5,39.3,47.4,51.2,52.3,7.0,1,45.3
9.0,97.4,95.3,93.6,87.5,9.0,0,93.5
3.8,45.1,46.5,39.2,37.9,6.9,1,42.7
6.4,76.3,83.7,72.5,75.3,7.8,0,77.9
8.0,82.2,83.9,79.0,88.5,8.3,0,81.9
2.0,30,22.4,26.2,31.4,5.7,1,26.5
9.3,99.4,92.5,96.2,100,9,1,97.8
6.1,61.0,69.3,63.5,64.9,7.2,0,63.0
7.6,84.7,79.8,72.9,74.1,8.0,1,78.9
9.1,97.0,92.5,97.1,94.8,8.9,1,99.0
3.8,51.8,42.5,43.6,48.6,6.8,0,45.0
8.8,96.5,94.3,96.7,93.2,8.7,0,97.7
5.8,76.6,70.3,67.5,71.5,7.7,0,71.3
7.8,97.3,100,88.5,99.6,8.6,1,93.3
7.3,79.1,86.1,80.9,87.2,8.2,0,83.3
2.8,33.2,39.0,27.9,24.5,6.5,1,31.3
3.4,37.3,38.7,41.9,43.3,6.5,0,37.8
6.1,75.5,79.6,77.1,76.2,7.8,0,73.0
6.1,72.7,65.8,69.3,65.5,7.5,0,66.4
7.0,74.1,84.6,72.3,79.5,7.8,1,78.3
6.3,73.2,73.4,77.2,74.8,7.9,1,72.3
2.8,35.7,25.6,29.0,33.4,6.4,0,31.0
2.2,34.9,26.6,27.1,32.9,6.3,1,29.1
7.5,87.0,74.1,81.1,87.1,7.9,1,80.6
8.4,92.0,98.6,89.2,94.9,8.7,1,95.0
8.9,99.9,98.2,91.7,100,8.8,0,95.8
3.7,46.4,45.3,39.3,41.7,6.8,0,44.5
4.6,43.4,50.7,47.0,56.9,6.6,1,50.2
6.5,82.6,80.5,84.1,84.4,8.0,1,77.7
4.0,45.2,41.6,50.4,51.7,6.7,1,46.4
2.1,30,22.8,28.4,27.2,6.3,0,30.2
7.9,84.7,84.7,87.8,86.8,8.8,1,86.1
2.3,30,23.7,24.3,30.4,5.7,1,26.9
8.1,89.3,89.4,84.6,92.7,8.8,0,91.5
8.5,99.1,96.7,98.7,100,8.7,0,99.0
8.4,85.3,78.5,85.7,83.9,8.4,0,86.0
6.6,66.7,71.3,63.7,64.4,7.5,1,69.5
2.0,30,20,26.5,24.6,5.7,1,22.7
2.5,30,29.7,31.2,35.1,6.3,0,30.5
8.7,93.9,89.2,96.9,94.8,8.6,1,92.8
4.1,43.8,35.6,33.3,37.3,6.4,0,39.9
9.2,97.1,100,92.3,95.2,9,0,97.1
8.5,92.3,82.2,89.9,95.8,8.7,1,90.2
7.5,74.7,71.9,79.5,75.4,7.7,0,76.2
4.1,52.3,47.5,55.7,56.6,6.8,0,50.2
8.7,92.2,90.5,96.3,98.1,8.5,1,92.7
6.5,81.8,77.5,73.8,77.5,8.5,0,79.4
5.0,57.0,56.0,59.0,61.6,7.2,1,59.5
2.1,36.9,36.3,33.0,35.0,5.9,1,30.9
8.0,89.8,90.0,98.7,93.6,8.8,1,94.1
8.1,79.8,79.9,83.2,85.7,8.0,1,84.9
7.9,98.3,91.2,96.4,87.6,8.3,0,92.0
8.5,100,92.0,93.8,97.5,9,0,94.9
1.7,30,20,20,21.4,5.9,1,20.2
8.1,93.1,85.8,88.5,95.0,8.9,0,92.0
7.1,71.2,72.3,76.6,82.1,8.5,0,77.0
4.0,43.7,44.5,37.1,36.2,6.7,1,38.8
9.4,92.0,98.4,96.3,100,9,1,97.8
8.4,90.4,88.8,98.0,95.2,8.5,0,92.3
6.0,70.6,64.8,72.2,68.1,7.9,0,70.0
4.8,62.8,61.0,62.4,62.1,7.6,0,60.4
2.7,31.6,28.0,20,30.3,6.3,0,26.6
5.9,59.6,55.9,60.0,61.8,7.5,1,62.1
3.1,30,38.0,30.9,28.1,5.9,0,31.6
7.2,79.0,86.1,81.5,84.2,8.7,0,85.0
7.8,95.0,92.5,99.6,100,9,0,93.3
6.8,81.5,81.2,84.9,76.3,8.2,1,80.0
7.6,89.8,83.7,87.2,82.6,8.6,1,86.7
4.8,46.5,52.2,49.1,53.6,6.8,0,50.7
9.1,92.7,100,91.9,99.3,9,1,97.6
4.8,53.3,58.2,53.5,57.8,7.6,1,57.1
6.8,71.9,77.3,76.6,77.1,7.6,0,71.8
8.0,80.9,87.0,93.4,88.7,8.4,1,87.7
8.9,86.7,83.5,95.2,87.6,8.8,1,91.2
9.2,99.9,100,93.1,100,9.0,0,97.4
2.3,30,26.3,24.9,28.4,6.2,1,22.7
5.5,72.8,60.5,70.8,64.0,7.3,1,66.8
5.3,49.7,57.3,50.1,61.0,7.0,1,54.9
5.3,62.7,70.9,57.1,64.3,7.1,0,63.1
4.2,42.2,43.7,46.2,40.4,6.6,1,41.1
3.9,32.9,30.7,35.5,38.2,6.4,0,38.5
5.1,71.0,71.5,68.8,64.9,7.6,1,64.0
3.0,30,31.1,30.0,35.1,5.9,0,31.0
6.5,81.6,74.5,82.6,80.5,7.9,0,77.6
7.5,81.7,89.2,84.6,82.4,8.3,0,87.1
9.1,90.0,90.6,87.6,98.3,8.6,0,94.2
6.1,74.7,73.4,74.6,76.9,8.1,0,71.4
7.3,86.5,84.5,77.4,77.1,8.5,1,83.3
1.8,30,25.2,27.6,22.9,5.8,1,20.9
7.3,80.7,81.1,81.0,78.9,8.2,0,78.4
6.0,55.9,63.5,63.6,60.3,7.8,1,61.7
8.8,86.0,86.2,91.7,93.9,8.5,1,91.2
8.3,94.5,87.4,100,100,9,1,95.3
3.5,42.8,32.2,34.8,41.4,6.4,1,38.7
8.3,89.1,94.1,97.9,95.4,8.7,0,93.7
5.2,51.9,52.3,57.2,61.5,7.3,0,54.8
9.3,95.0,97.8,100,96.7,8.6,1,96.4
9.2,91.9,89.3,96.6,90.3,9,0,94.2
4.6,38.1,51.0,44.6,38.9,6.8,1,45.1
3.7,42.4,39.5,41.7,38.6,6.8,1,37.0
8.4,94.8,98.7,88.2,96.3,8.6,1,93.8
4.6,62.6,61.4,50.7,58.2,7.4,1,57.5
3.3,38.9,32.7,30.3,34.0,6.0,1,33.3
8.1,81.5,80.6,87.8,86.2,8.6,0,88.0
